,cwe_id
0,CWE-252
1,NVD-CWE-Other
2,CWE-20
3,CWE-119
4,CWE-19
5,CWE-119
6,CWE-119
7,CWE-94
8,CWE-255
9,CWE-20
10,CWE-189
11,CWE-20
12,CWE-20
13,CWE-79
14,CWE-264
15,CWE-20
16,CWE-20
17,NVD-CWE-noinfo
18,NVD-CWE-Other
19,CWE-94
20,CWE-94
21,CWE-264
22,CWE-120
23,CWE-399
24,CWE-20
25,CWE-79
26,CWE-20
27,NVD-CWE-noinfo
28,CWE-119
29,CWE-20
30,CWE-79
31,CWE-362
32,CWE-264
33,CWE-20
34,CWE-399
35,CWE-193
36,CWE-119
37,CWE-264
38,CWE-94
39,CWE-119
40,CWE-399
41,CWE-310
42,CWE-399
43,CWE-399
44,CWE-255
45,CWE-264
46,NVD-CWE-noinfo
47,CWE-264
48,NVD-CWE-Other
49,CWE-200
50,CWE-20
51,CWE-20
52,CWE-200
53,CWE-787
54,NVD-CWE-noinfo
55,CWE-189
56,CWE-119
57,CWE-264
58,CWE-399
59,CWE-772
60,CWE-772
61,CWE-772
62,NVD-CWE-Other
63,CWE-399
64,CWE-264
65,CWE-134
66,CWE-22
67,CWE-189
68,NVD-CWE-Other
69,CWE-362
70,CWE-264
71,CWE-362
72,NVD-CWE-Other
73,CWE-79
74,CWE-399
75,CWE-119
76,CWE-362
77,CWE-399
78,CWE-189
79,CWE-189
80,CWE-264
81,CWE-264
82,CWE-399
83,CWE-476
84,CWE-264
85,CWE-400
86,NVD-CWE-Other
87,CWE-200
88,CWE-264
89,CWE-189
90,CWE-119
91,CWE-20
92,CWE-189
93,NVD-CWE-Other
94,CWE-200
95,CWE-59
96,CWE-200
97,NVD-CWE-Other
98,CWE-400
99,CWE-200
100,CWE-400
101,CWE-20
102,CWE-89
103,CWE-79
104,CWE-79
105,CWE-200
106,CWE-94
107,NVD-CWE-Other
108,CWE-119
109,CWE-189
110,CWE-20
111,CWE-119
112,CWE-120
113,CWE-119
114,CWE-20
115,CWE-79
116,CWE-79
117,CWE-79
118,CWE-79
119,CWE-22
120,CWE-20
121,CWE-476
122,NVD-CWE-noinfo
123,CWE-264
124,CWE-476
125,CWE-119
126,CWE-665
127,CWE-119
128,CWE-20
129,NVD-CWE-noinfo
130,CWE-264
131,CWE-189
132,CWE-20
133,CWE-434
134,CWE-79
135,NVD-CWE-noinfo
136,CWE-399
137,CWE-79
138,CWE-79
139,CWE-362
140,CWE-476
141,CWE-22
142,CWE-119
143,CWE-189
144,CWE-835
145,CWE-22
146,CWE-20
147,CWE-20
148,CWE-255
149,CWE-79
150,CWE-79
151,CWE-264
152,CWE-264
153,NVD-CWE-Other
154,CWE-119
155,CWE-264
156,CWE-89
157,CWE-200
158,CWE-190
159,CWE-190
160,NVD-CWE-Other
161,CWE-369
162,CWE-119
163,CWE-310
164,CWE-400
165,CWE-16
166,CWE-89
167,CWE-79
168,NVD-CWE-Other
169,CWE-476
170,NVD-CWE-noinfo
171,CWE-20
172,CWE-264
173,CWE-264
174,CWE-264
175,CWE-264
176,CWE-287
177,CWE-476
178,CWE-119
179,CWE-79
180,CWE-79
181,CWE-22
182,CWE-79
183,CWE-79
184,CWE-22
185,CWE-119
186,CWE-399
187,CWE-189
188,CWE-79
189,CWE-79
190,CWE-22
191,CWE-119
192,CWE-200
193,CWE-16
194,NVD-CWE-Other
195,CWE-189
196,CWE-264
197,CWE-119
198,CWE-264
199,CWE-119
200,CWE-79
201,CWE-399
202,CWE-20
203,CWE-22
204,CWE-20
205,NVD-CWE-Other
206,CWE-264
207,CWE-264
208,CWE-362
209,CWE-189
210,CWE-189
211,CWE-189
212,CWE-399
213,CWE-399
214,NVD-CWE-Other
215,CWE-310
216,CWE-20
217,CWE-20
218,NVD-CWE-Other
219,CWE-189
220,CWE-189
221,CWE-189
222,NVD-CWE-Other
223,CWE-119
224,CWE-20
