,code,cwe_id,vul
137125,"static void goodG2B() 56
char * password ; 58
password = ( char * ) malloc ( 100 * sizeof ( char ) ); 62
if ( password == NULL )  63
if ( ! VirtualLock ( password , 100 * sizeof ( char ) ) )  69
strcpy ( password , ""Password1234!"" ); 75
passwordArray [ 2 ] = password; 76
CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_66b_goodG2BSink ( passwordArray ); 77
void CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_66b_goodG2BSink(char * passwordArray[]) 60
char * password = passwordArray [ 2 ] ; 62
if ( LogonUserA ( username , domain , password , LOGON32_LOGON_NETWORK , LOGON32_PROVIDER_DEFAULT , & pHandle ) != 0 )  68
free ( password ); 84",0,0
77689,"void CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54_bad() 47
WSADATA wsaData ; 54
int recvResult ; 57
struct sockaddr_in service ; 59
char inputBuffer [ CHAR_ARRAY_SIZE ] ; 62
if ( WSAStartup ( MAKEWORD ( 2 , 2 ) , & wsaData ) != NO_ERROR )  66
listenSocket = socket ( AF_INET , SOCK_STREAM , IPPROTO_TCP ); 72
if ( listenSocket == INVALID_SOCKET )  73
memset ( & service , 0 , sizeof ( service ) ); 77
service . sin_family = AF_INET; 78
service . sin_addr . s_addr = INADDR_ANY; 79
service . sin_port = htons ( TCP_PORT ); 80
if ( bind ( listenSocket , ( struct sockaddr * ) & service , sizeof ( service ) ) == SOCKET_ERROR )  81
if ( listen ( listenSocket , LISTEN_BACKLOG ) == SOCKET_ERROR )  85
acceptSocket = accept ( listenSocket , NULL , NULL ); 89
if ( acceptSocket == SOCKET_ERROR )  90
recvResult = recv ( acceptSocket , inputBuffer , CHAR_ARRAY_SIZE - 1 , 0 ); 95
if ( recvResult == SOCKET_ERROR || recvResult == 0 )  97
inputBuffer [ recvResult ] = '\0'; 102
tempInt = atoi ( inputBuffer ); 105
if ( tempInt > SHRT_MAX || tempInt < SHRT_MIN )  106
data = tempInt; 112
while ( 0 )  115
CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54b_badSink ( data ); 131
void CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54b_badSink(short data) 49
CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54c_badSink ( data ); 51
void CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54c_badSink(short data) 49
CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54d_badSink ( data ); 51
void CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54d_badSink(short data) 49
CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54e_badSink ( data ); 51
void CWE194_Unexpected_Sign_Extension__listen_socket_memcpy_54e_badSink(short data) 46
if ( data < 100 )  53
memcpy ( dest , source , data ); 57
dest [ data ] = '\0'; 58
printLine ( dest ); 60
void printLine (const char * line) 10
if ( line != NULL )  12
printf ( ""%s\n"" , line ); 14",0,0
159474,"void CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_ncat_68b_goodG2BSink() 46
wchar_t * data = CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_ncat_68_goodG2BData ; 48
wchar_t source [ 100 ] ; 50
wmemset ( source , L 'C' , 100 - 1 )
source [ 100 - 1 ] = L '\0' 52
wcsncat ( data , source , 100 ); 54
printWLine ( data ); 55
void printWLine (const wchar_t * line) 18
if ( line != NULL )  20
wprintf ( L ""%ls\n"" , line ) 22",0,0
106162,"char *dfaexec(struct dfa *d,const char *begin,char *end,int allow_nl,size_t *count,int *backref) 3552
unsigned char eol = eolbyte ; 3564
* end = eol; 3573
if ( d -> mb_cur_max > 1 )  3574
inputwcs = ( ( sizeof ( ( * inputwcs ) ) == 1 ? xmalloc ( ( end - begin + 2 ) ) : xnmalloc ( ( end - begin + 2 ) , sizeof ( ( * inputwcs ) ) ) ) ); 3579
while ( 0 )  3580
while ( inputwcs [ p - buf_begin ] == 0 && mblen_buf [ p - buf_begin ] > 0 && ( ( const unsigned char * ) p ) < buf_end )  3592
free ( inputwcs ); 3596
free ( inputwcs ); 3613
free ( inputwcs ); 3643
free ( inputwcs ); 3673",0,0
90109,"void CWE605_Multiple_Binds_Same_Port__basic_10_bad() 44
if ( globalTrue )  46
char data [ 100 ] = """" ; 49
size_t dataLen = strlen ( data ) ; 59
recvResult = recv ( acceptSocket , data + dataLen , ( int ) ( 100 - dataLen - 1 ) , 0 ); 104
if ( recvResult == SOCKET_ERROR || recvResult == 0 )  105
data [ recvResult ] = '\0'; 110
replace = strchr ( data , '\r' ); 112
if ( replace )  113
* replace = '\0'; 115
replace = strchr ( data , '\n' ); 117
if ( replace )  118
* replace = '\0'; 120
printLine ( data ); 138
void printLine (const char * line) 10
if ( line != NULL )  12
printf ( ""%s\n"" , line ); 14",0,0
54342,"static void goodB2G1() 98
char * data ; 100
char dataBuffer [ 100 ] = """" ; 101
data = dataBuffer; 102
switch ( 6 )  103
FILE * pFile ; 107
pFile = fopen ( ""passwords.txt"" , ""r"" ); 108
if ( pFile != NULL )  109
if ( fgets ( data , 100 , pFile ) == NULL )  112
data [ 0 ] = '\0'; 114",0,0
83169,"static void goodG2B2() 100
char * data ; 102
data = NULL; 103
switch ( 6 )  104
char * dataBuffer = new char [ 100 ] ; 108
memset ( dataBuffer , 'A' , 100 - 1 ); 109
dataBuffer [ 100 - 1 ] = '\0'; 110
data = dataBuffer; 112
char dest [ 100 ] ; 121
memset ( dest , 'C' , 100 - 1 ); 122
dest [ 100 - 1 ] = '\0'; 123
memcpy ( dest , data , 100 * sizeof ( char ) ); 125
dest [ 100 - 1 ] = '\0'; 127
printLine ( dest ); 128
void printLine (const char * line) 10
if ( line != NULL )  12
printf ( ""%s\n"" , line ); 14",0,0
158476,"static uint64_t eepro100_read(void *opaque, hwaddr addr,
unsigned size) 1582
EEPRO100State * s = opaque ; 1584
switch ( size )  1586
return eepro100_read1 ( s , addr ) ; 1587
static uint8_t eepro100_read1(EEPRO100State * s, uint32_t addr) 1327
uint8_t val = 0 ; 1329
if ( addr <= sizeof ( s -> mem ) - sizeof ( val ) )  1330
val = s -> mem [ addr ]; 1331
switch ( addr )  1334
val = eepro100_read_command ( s ); 1342
val = eepro100_read_eeprom ( s ); 1352
val = ( uint8_t ) ( eepro100_read_mdi ( s ) >> ( 8 * ( addr & 3 ) ) ); 1358
val = 0; 1362
TRACE ( OTHER , logout ( ""addr=%s val=0x%02x\n"" , regname ( addr ) , val ) ); 1366
static char *regname(uint32_t addr) 648
static char buf [ 32 ] ; 650
if ( addr < PCI_IO_SIZE )  651
const char * r = e100_reg [ addr / 4 ] ; 652
if ( r != 0 )  653
snprintf ( buf , sizeof ( buf ) , ""%s+%u"" , r , addr % 4 ); 654",0,0
55076,"static void goodB2G1() 170
wchar_t * data ; 172
wchar_t dataBuffer [ 100 ] = L """" 173
data = dataBuffer; 174
WSADATA wsaData ; 177
int recvResult ; 180
struct sockaddr_in service ; 181
size_t dataLen = wcslen ( data ) ; 184
if ( WSAStartup ( MAKEWORD ( 2 , 2 ) , & wsaData ) != NO_ERROR )  188
connectSocket = socket ( AF_INET , SOCK_STREAM , IPPROTO_TCP ); 195
if ( connectSocket == INVALID_SOCKET )  196
memset ( & service , 0 , sizeof ( service ) ); 200
service . sin_family = AF_INET; 201
service . sin_addr . s_addr = inet_addr ( IP_ADDRESS ); 202
service . sin_port = htons ( TCP_PORT ); 203
if ( connect ( connectSocket , ( struct sockaddr * ) & service , sizeof ( service ) ) == SOCKET_ERROR )  204
recvResult = recv ( connectSocket , ( char * ) ( data + dataLen ) , sizeof ( wchar_t ) * ( 100 - dataLen - 1 ) , 0 ); 211
if ( recvResult == SOCKET_ERROR || recvResult == 0 )  212
while ( 0 )  230",0,0
141089,"static void goodG2B() 54
twoIntsStruct * dataBuffer = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) ) ; 60
if ( dataBuffer == NULL )  61
dataBuffer [ i ] . intOne = 1; 70
dataBuffer [ i ] . intTwo = 1; 71
data = dataBuffer; 74
CWE590_Free_Memory_Not_on_Heap__free_struct_static_52b_goodG2BSink ( data ); 76
void CWE590_Free_Memory_Not_on_Heap__free_struct_static_52b_goodG2BSink(twoIntsStruct * data) 41
CWE590_Free_Memory_Not_on_Heap__free_struct_static_52c_goodG2BSink ( data ); 43
void CWE590_Free_Memory_Not_on_Heap__free_struct_static_52c_goodG2BSink(twoIntsStruct * data) 37
printStructLine ( & data [ 0 ] ); 39
void printStructLine (const twoIntsStruct * structTwoIntsStruct) 86
printf ( ""%d -- %d\n"" , structTwoIntsStruct -> intOne , structTwoIntsStruct -> intTwo ); 88
free ( data ); 41",0,0
